source,target,relation,cone,distance
3356,263575,-1,52971,400.0000000000001
3356,263189,-1,52971,400.0000000000001
3356,263438,-1,52971,400.0000000000001
3356,264232,-1,52971,400.0000000000001
3356,262413,-1,52971,400.0000000000001
3356,262366,-1,52971,400.0000000000001
3356,262885,-1,52971,400.0000000000001
3356,262762,-1,52971,400.0000000000001
3356,262763,-1,52971,400.0000000000001
3356,264979,-1,52971,400.0000000000001
3356,265005,-1,52971,400.0000000000001
3356,267522,-1,52971,400.0000000000001
3356,267068,-1,52971,400.0000000000001
3356,266642,-1,52971,400.0000000000001
3356,266923,-1,52971,400.0000000000001
3356,267009,-1,52971,400.0000000000001
3356,268400,-1,52971,400.0000000000001
3356,268860,-1,52971,400.0000000000001
3356,268862,-1,52971,400.0000000000001
3356,265581,-1,52971,400.0000000000001
3356,265398,-1,52971,400.0000000000001
3356,265303,-1,52971,400.0000000000001
3356,266444,-1,52971,400.0000000000001
3356,266381,-1,52971,400.0000000000001
3356,266069,-1,52971,400.0000000000001
3356,200451,-1,52971,400.0000000000001
3356,200220,-1,52971,400.0000000000001
3356,201401,-1,52971,400.0000000000001
3356,202454,-1,52971,400.0000000000001
3356,201653,-1,52971,400.0000000000001
3356,201838,-1,52971,400.0000000000001
3356,202032,-1,52971,400.0000000000001
3356,197696,-1,52971,400.0000000000001
3356,196736,-1,52971,400.0000000000001
3356,199339,-1,52971,400.0000000000001
3356,199708,-1,52971,400.0000000000001
3356,198374,-1,52971,400.0000000000001
3356,209383,-1,52971,400.0000000000001
3356,208697,-1,52971,400.0000000000001
3356,207225,-1,52971,400.0000000000001
3356,212153,-1,52971,400.0000000000001
3356,213319,-1,52971,400.0000000000001
3356,211156,-1,52971,400.0000000000001
3356,203908,-1,52971,400.0000000000001
3356,205973,-1,52971,400.0000000000001
3356,205993,-1,52971,400.0000000000001
3356,206433,-1,52971,400.0000000000001
3356,205254,-1,52971,400.0000000000001
3356,205847,-1,52971,400.0000000000001
3356,268941,-1,52971,400.0000000000001
3356,396835,-1,52971,400.0000000000001
3356,400039,-1,52971,400.0000000000001
3356,398945,-1,52971,400.0000000000001
3356,398756,-1,52971,400.0000000000001
3356,399773,-1,52971,400.0000000000001
3356,399654,-1,52971,400.0000000000001
3356,399408,-1,52971,400.0000000000001
3356,272646,-1,52971,400.0000000000001
3356,393856,-1,52971,400.0000000000001
3356,269673,-1,52971,400.0000000000001
3356,270421,-1,52971,400.0000000000001
3356,271106,-1,52971,400.0000000000001
3356,394973,-1,52971,400.0000000000001
3356,395020,-1,52971,400.0000000000001
3356,395434,-1,52971,400.0000000000001
3356,41357,-1,52971,400.0000000000001
3356,42778,-1,52971,400.0000000000001
3356,40474,-1,52971,400.0000000000001
3356,40244,-1,52971,400.0000000000001
3356,40810,-1,52971,400.0000000000001
3356,46744,-1,52971,400.0000000000001
3356,46616,-1,52971,400.0000000000001
3356,47583,-1,52971,400.0000000000001
3356,46903,-1,52971,400.0000000000001
3356,44426,-1,52971,400.0000000000001
