source,target,rel,cone
6939,26962,-1,1
6939,27029,-1,1
6939,25961,-1,1
6939,23028,-1,1
6939,23068,-1,1
6939,23528,-1,1
6939,22892,-1,1
6939,22639,-1,1
6939,24289,0,1
6939,24717,0,1
6939,24263,0,1
6939,23633,0,1
6939,24204,0,1
6939,50584,0,1
6939,52584,0,1
6939,52101,-1,1
6939,51752,0,1
6939,51944,0,1
6939,51972,0,1
6939,48350,-1,1
6939,48417,0,1
6939,48451,0,1
6939,48487,0,1
6939,49567,0,1
6939,49849,0,1
6939,55819,-1,1
6939,58061,0,1
6939,58088,0,1
6939,58239,0,1
6939,57317,0,1
6939,53612,-1,1
6939,53050,0,1
6939,53755,-1,1
6939,54502,-1,1
6939,53893,-1,1
6939,53896,-1,1
6939,41400,-1,1
6939,41617,0,1
6939,41721,0,1
6939,42765,0,1
6939,41930,0,1
6939,42039,0,1
6939,38064,0,1
6939,38148,0,1
6939,38186,-1,1
6939,38572,0,1
6939,40244,0,1
6939,39507,0,1
6939,46760,-1,1
6939,46015,0,1
6939,48115,0,1
6939,48305,0,1
6939,44128,0,1
6939,44411,-1,1
7195,269523,0,1
7195,266620,0,1
7195,398962,-1,1
7195,269828,-1,1
7195,270276,0,1
7195,28571,0,1
7195,2635,-1,1
7195,13150,0,1
7195,23028,-1,1
7195,262770,0,1
7473,137819,-1,1
7473,394984,-1,1
7473,13150,-1,1
263089,6939,0,1
263083,7195,0,1
7473,40051,-1,1
7018,14388,-1,1
7018,14408,-1,1
7018,14416,-1,1
7018,13716,-1,1
7018,15343,-1,1
7018,16492,-1,1
7018,15139,-1,1
7018,11277,-1,1
7018,11465,-1,1
7018,10690,-1,1
7018,10982,-1,1
7018,13554,-1,1
7018,12152,-1,1
7018,11719,-1,1
7018,11857,-1,1
7018,12098,-1,1
7018,12104,-1,1
7018,20358,-1,1
7018,21749,-1,1
7018,20050,-1,1
7018,22260,-1,1
7018,21933,-1,1
7018,22098,-1,1
7018,17233,-1,1
7018,17386,-1,1
7018,17009,-1,1
7018,18674,-1,1
6939,399090,-1,1
6939,399279,0,1
6939,398962,0,1
6939,398482,0,1
6939,398712,-1,1
6939,398717,-1,1
6939,400771,-1,1
6939,400583,-1,1
7018,4546,-1,1
7018,3145,-1,1
7018,5696,-1,1
7018,7764,-1,1
7018,7914,-1,1
7018,7968,-1,1
7018,7163,-1,1
7018,1678,-1,1
7018,62932,-1,1
7018,62957,-1,1
7018,62974,-1,1
7018,63407,-1,1
7018,394041,-1,1
7018,393359,-1,1
7018,393385,-1,1
7018,54714,-1,1
7018,46889,-1,1
7018,47016,-1,1
7018,46792,-1,1
